Ag,9.9,Silver
Cu,10.4,Copper
Au,14.7,Gold
Cr,15.6,Chromium
Al,17.0,Aluminum
Ti,19.2,Titanium
Na,25.9,Sodium
Mg,26.2,Magnesium
Ca,27.6,Calcium
Rh,28.2,Rhodium
W,30.1,Tungsten
Mn,30.1,Manganese
Mo,31.9,Molybdenum
Zn,34.6,Zinc
Ir,36.7,Irdium
K,36.7,Potassium
Ni,41.7,Nickel
Cd,42.3,Cadmium
In,50.3,Indium
Li,51.4,Lithium
Fe,52.9,Iron
Co,54.1,Cobalt
Pd,61.4,Palladium
Pt,65.9,Platinum
Rb,78.2,Rubidium
Sn,78.2,Tin
Ta,87.8,Tantalum
Tl,105.9,Thallium
Cs,114.3,Cesium
Pb,122.7,Lead
Sr,141.4,Strontium
As,210.5,Arsenic
Sb,234.6,Antimony
Ga,318.8,Gallium
Os,336.9,Osmium
Hg,565.9,Mercury
Bi,661.7,Bismuth
C,18046.2,Carbon
Te,1200000,Tellurium
P,6200000000000,Phosphorus
B,48100000000000,Boron
Se,60200000000000,Selenium
S,602000000000000000,Sulfur
